Baseline 100%T,,TigE_30x_2ndbase,,TigE_60x_2ndbase1,,TigE_90x_2ndbase,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
691.9932861,-0.00328911352,691.9932861,0.006871428806,691.9932861,0.007203130983,691.9932861,0.002549861325,
690.9842529,-0.002799841808,690.9842529,0.00689325761,690.9842529,0.007315053139,690.9842529,0.002453217516,
690.0109863,-0.002368567046,690.0109863,0.007009387948,690.0109863,0.007365864702,690.0109863,0.002454102505,
689.0012817,-0.002106350381,689.0012817,0.007016964722,689.0012817,0.007454680745,689.0012817,0.002603998408,
687.991394,-0.001581132412,687.991394,0.007163443603,687.991394,0.007365654223,687.991394,0.002570249839,
687.0171509,-0.001135271275,687.0171509,0.006937181111,687.0171509,0.007144680712,687.0171509,0.002156338887,
686.0065308,-0.001036737114,686.0065308,0.007448571268,686.0065308,0.007660952397,686.0065308,0.002398135839,
684.9956055,-0.0006167868269,684.9956055,0.007140628062,684.9956055,0.007425845601,684.9956055,0.002722478006,
683.984314,-7.454519073E-005,683.984314,0.006897465792,683.984314,0.007164706942,683.984314,0.002234806772,
683.0089111,0.0002659043821,683.0089111,0.006886024959,683.0089111,0.007144733332,683.0089111,0.002209724626,
681.9970093,0.0003722961992,681.9970093,0.007250165101,681.9970093,0.007381082978,681.9970093,0.00251780916,
680.9848022,0.0009465935291,680.9848022,0.007199841086,680.9848022,0.007228871342,680.9848022,0.002334550954,
680.0084839,0.001097449102,680.0084839,0.007180576213,680.0084839,0.007392826024,680.0084839,0.002281774534,
678.9956665,0.001349407132,678.9956665,0.007342090365,678.9956665,0.007639348507,678.9956665,0.002454805421,
677.9824829,0.001372362138,677.9824829,0.007349672727,677.9824829,0.007727904245,677.9824829,0.002741650213,
677.005127,0.001810297719,677.005127,0.00730562862,677.005127,0.007408493198,677.005127,0.002420834033,
675.991394,0.002240218921,675.991394,0.007086895872,675.991394,0.007199498825,675.991394,0.002257366199,
675.0134888,0.002348110545,675.0134888,0.00729149254,675.0134888,0.007247085683,675.0134888,0.002180221258,
673.9990845,0.00233213068,673.9990845,0.007694993634,673.9990845,0.007831105962,673.9990845,0.002544262912,
672.984375,0.002690830035,672.984375,0.007449571975,672.984375,0.00757522881,672.984375,0.002455091802,
672.0055542,0.002768534701,672.0055542,0.007625807077,672.0055542,0.007517544553,672.0055542,0.002520621056,
670.9901733,0.002985936822,670.9901733,0.007814711891,670.9901733,0.007560820319,670.9901733,0.002632931573,
670.0108032,0.003190305084,670.0108032,0.007878313772,670.0108032,0.00746034272,670.0108032,0.002457825234,
668.994873,0.003365263576,668.994873,0.007964150049,668.994873,0.007607208565,668.994873,0.002650224837,
668.0148926,0.003541075625,668.0148926,0.007992098108,668.0148926,0.007572252303,668.0148926,0.002516194945,
666.99823,0.003085671226,666.99823,0.007915060967,666.99823,0.007560530212,666.99823,0.002686141524,
666.0176392,0.002822568873,666.0176392,0.007862682454,666.0176392,0.007771701552,666.0176392,0.002592774574,
665.0004883,0.002931387164,665.0004883,0.007907073013,665.0004883,0.007574807387,665.0004883,0.002370936098,
663.9829102,0.002778277965,663.9829102,0.00802479405,663.9829102,0.007622804027,663.9829102,0.002566786483,
663.0014038,0.002542180009,663.0014038,0.008141464554,663.0014038,0.00758763589,663.0014038,0.002668378176,
661.9833374,0.00251111784,661.9833374,0.008293812163,661.9833374,0.007822909392,661.9833374,0.002708438085,
661.0012207,0.00255535543,661.0012207,0.008245319128,661.0012207,0.007631313056,661.0012207,0.00258631655,
