Baseline 100%T,,100x,,200x,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
592.0112915,0.003872097004,592.0112915,0.1222667396,592.0112915,0.05562700704,
591.0097656,0.003845927771,591.0097656,0.1225566939,591.0097656,0.05555227771,
590.0080566,0.003823468229,590.0080566,0.1229057238,590.0080566,0.0559480153,
589.0059204,0.004006127827,589.0059204,0.1231895387,589.0059204,0.0559823215,
588.0036011,0.003609405365,588.0036011,0.1237611771,588.0036011,0.05613550171,
587.0010986,0.003543763654,587.0010986,0.1243126094,587.0010986,0.05630686507,
585.99823,0.00329311192,585.99823,0.124841623,585.99823,0.05664751679,
584.9951782,0.003100583795,584.9951782,0.1252890974,584.9951782,0.05683035031,
583.9918213,0.002853705315,583.9918213,0.125986591,583.9918213,0.05715408176,
582.9882813,0.002650537295,582.9882813,0.126745671,582.9882813,0.05728115141,
581.984375,0.002360212849,581.984375,0.127015397,581.984375,0.05764482915,
581.0174561,0.002308500232,581.0174561,0.1274822354,581.0174561,0.05785866082,
580.0131226,0.002118384931,580.0131226,0.1281396598,580.0131226,0.05797650293,
579.0085449,0.001953184837,579.0085449,0.1288573444,579.0085449,0.05827222764,
578.0036621,0.001796183176,578.0036621,0.1292470992,578.0036621,0.05829688534,
576.9985962,0.001546381856,576.9985962,0.1298879981,576.9985962,0.05867946148,
575.9931641,0.001429365366,575.9931641,0.1304330826,575.9931641,0.05897231027,
574.9876099,0.001545394654,574.9876099,0.1309574991,574.9876099,0.05891891196,
573.9816895,0.001195894205,573.9816895,0.1316141337,573.9816895,0.0593181178,
573.0128174,0.0008316577296,573.0128174,0.1325547248,573.0128174,0.05951006711,
572.0064697,0.0008610696532,572.0064697,0.1331023127,572.0064697,0.05973126367,
570.999939,0.0004948850255,570.999939,0.1340683997,570.999939,0.06031965837,
569.992981,0.0002364550164,569.992981,0.1349904835,569.992981,0.06052091345,
568.9859619,-6.036188279E-005,568.9859619,0.1357684135,568.9859619,0.06086209044,
568.0158691,-0.0007191377226,568.0158691,0.1367351115,568.0158691,0.0615648441,
567.0083008,-0.0007618285017,567.0083008,0.1376984119,567.0083008,0.06185221672,
566.0004272,-0.0007526808186,566.0004272,0.1383329332,566.0004272,0.06208981201,
564.9923096,-0.0009267118876,564.9923096,0.1391065866,564.9923096,0.06222165376,
563.9839478,-0.001489974326,563.9839478,0.1403083652,563.9839478,0.06277753413,
563.0126953,-0.001672941959,563.0126953,0.1410589665,563.0126953,0.06303479522,
562.0039063,-0.002148132306,562.0039063,0.1421988457,562.0039063,0.06373229623,
560.994873,-0.002270106226,560.994873,0.1432276368,560.994873,0.06415515393,
559.9854736,-0.002629544586,559.9854736,0.1442119181,559.9854736,0.0646308437,
559.0133057,-0.002718457486,559.0133057,0.1450685561,559.0133057,0.06486605108,
558.003479,-0.003111965954,558.003479,0.1461611837,558.003479,0.06546313316,
556.9934692,-0.003406760748,556.9934692,0.1473498493,556.9934692,0.06603512168,
555.9830933,-0.003547484754,555.9830933,0.1482803673,555.9830933,0.06634009629,
