Baseline 100%T,,TigE_200x,,TigE_100x,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
674.9926758,0.01426540967,674.9926758,0.02142169699,674.9926758,0.04498732835,
674.0148315,0.01437017694,674.0148315,0.02161261998,674.0148315,0.04526723921,
673.0004272,0.01459898055,673.0004272,0.02175629511,673.0004272,0.04523391277,
671.9857178,0.01473494526,671.9857178,0.02193440497,671.9857178,0.04553712532,
671.006958,0.01513279974,671.006958,0.02159126289,671.006958,0.04535343871,
669.9915771,0.01532113738,669.9915771,0.02167876437,669.9915771,0.04574988037,
669.012207,0.01566826925,669.012207,0.02183639817,669.012207,0.04560368136,
667.9962769,0.01531665958,667.9962769,0.0221789442,667.9962769,0.04622444883,
667.0163574,0.01489369478,667.0163574,0.02228492871,667.0163574,0.0461140126,
665.9997559,0.01484617405,665.9997559,0.02194420621,665.9997559,0.04615961015,
664.9828491,0.01452113781,664.9828491,0.02233387157,664.9828491,0.04636028782,
664.0020142,0.01442599483,664.0020142,0.02220152877,664.0020142,0.04659079388,
662.9844971,0.01417754311,662.9844971,0.02256475575,662.9844971,0.04689616337,
662.0030518,0.01425751857,662.0030518,0.02244409174,662.0030518,0.04683260992,
660.9849243,0.01399659831,660.9849243,0.02269099094,660.9849243,0.04738454521,
660.0029297,0.01417585835,660.0029297,0.02274592593,660.0029297,0.04714446887,
658.9841919,0.01452777628,658.9841919,0.02268638276,658.9841919,0.04745958373,
658.0015259,0.01417155284,658.0015259,0.02286716551,658.0015259,0.04757894203,
656.9822388,0.01428491063,656.9822388,0.02274085209,656.9822388,0.04761149362,
655.9989624,0.0140739996,655.9989624,0.02306131832,655.9989624,0.04793709517,
655.0155029,0.01394714322,655.0155029,0.02316842042,655.0155029,0.04817095771,
653.9952393,0.01405282319,653.9952393,0.02317803167,653.9952393,0.0482028611,
653.0111084,0.01407530904,653.0111084,0.02305730432,653.0111084,0.04841432348,
651.9902954,0.01395740826,651.9902954,0.02353917994,651.9902954,0.04864238948,
651.0056152,0.01394198369,651.0056152,0.0235404931,651.0056152,0.04888372868,
