Baseline 100%T,,CM52_frac_110-175_10x,,CM52_frac_110-175_10x1_repeat,,CM52_frac_176-240_10x,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
656.010376,-0.009403306991,656.010376,1.661910937E-005,656.010376,0.00203920994,656.010376,-0.001818610937,
654.9900513,-0.009425141849,654.9900513,-9.219603089E-005,654.9900513,0.002073567826,654.9900513,-0.001965880161,
654.0057983,-0.009522145614,654.0057983,0.0001020285854,654.0057983,0.002240062691,654.0057983,-0.001614144887,
652.9848022,-0.00918023102,652.9848022,-0.0002070901392,652.9848022,0.001692612423,652.9848022,-0.002196452115,
652.000061,-0.009622166865,652.000061,0.0001499056234,652.000061,0.001858467469,652.000061,-0.001602023374,
651.0149536,-0.009601506405,651.0149536,6.534109707E-005,651.0149536,0.00203450257,651.0149536,-0.001810929039,
649.993103,-0.009514902718,649.993103,-8.339658234E-005,649.993103,0.002007741714,649.993103,-0.001720180153,
649.0074463,-0.00956625957,649.0074463,7.059677591E-005,649.0074463,0.001971725142,649.0074463,-0.001815053518,
647.9849243,-0.009384459816,647.9849243,-0.0002186813654,647.9849243,0.001734375604,647.9849243,-0.00202828832,
646.9987183,-0.00953308586,646.9987183,-7.904855011E-005,646.9987183,0.002005609218,646.9987183,-0.001761380467,
646.012207,-0.009766409174,646.012207,0.0002997334814,646.012207,0.002014451427,646.012207,-0.001652312232,
644.9888306,-0.009382382035,644.9888306,-0.0002832554164,644.9888306,0.001529600238,644.9888306,-0.001908978447,
644.001709,-0.009360848926,644.001709,-0.0002783402742,644.001709,0.001754180063,644.001709,-0.001880112337,
643.0143433,-0.009492160752,643.0143433,-6.983472849E-005,643.0143433,0.001862496953,643.0143433,-0.001777415979,
641.9901123,-0.009339568205,641.9901123,-0.0003050883824,641.9901123,0.00163619814,641.9901123,-0.00194248138,
641.0021362,-0.009561043233,641.0021362,9.319048331E-006,641.0021362,0.001886389102,641.0021362,-0.001660203212,
640.013916,-0.009424838237,640.013916,-0.0001861319906,640.013916,0.001697238069,640.013916,-0.001792626106,
638.9887695,-0.009586920962,638.9887695,-0.0001725215989,638.9887695,0.00211986783,638.9887695,-0.001734051504,
637.9998779,-0.009363686666,637.9998779,-0.0003406292817,637.9998779,0.001815418596,637.9998779,-0.00201123138,
637.0108643,-0.009763877839,637.0108643,9.938760195E-005,637.0108643,0.002215708839,637.0108643,-0.001728121424,
635.9848022,-0.009440795518,635.9848022,-0.000121698773,635.9848022,0.001823320985,635.9848022,-0.002083783504,
634.9951782,-0.009564689361,634.9951782,-5.295946175E-005,634.9951782,0.001862470992,634.9951782,-0.001888617757,
634.005188,-0.009462629445,634.005188,-9.836657E-007,634.005188,0.001871154178,634.005188,-0.001919596572,
633.0150146,-0.009494591504,633.0150146,-0.0001571511675,633.0150146,0.001789476955,633.0150146,-0.002030349569,
631.987854,-0.009415060282,631.987854,-0.0001251147478,631.987854,0.001741990563,631.987854,-0.002019167412,
630.9970093,-0.009675130248,630.9970093,2.283202411E-005,630.9970093,0.00198873179,630.9970093,-0.001816651784,
630.0059814,-0.009436996654,630.0059814,-0.0002542293223,630.0059814,0.001933345222,630.0059814,-0.002012262121,
629.0146484,-0.00960748177,629.0146484,9.501189925E-005,629.0146484,0.002086182591,629.0146484,-0.001642925432,
627.9862671,-0.00952913519,627.9862671,-0.0001164194837,627.9862671,0.001933449181,627.9862671,-0.001783242333,
626.9943848,-0.009530857205,626.9943848,-1.786095163E-005,626.9943848,0.001934203203,626.9943848,-0.001665515359,
626.0022583,-0.009533187374,626.0022583,-3.748126619E-005,626.0022583,0.001996559324,626.0022583,-0.001678666449,
625.0097656,-0.009548027068,625.0097656,-5.860187957E-005,625.0097656,0.002030237345,625.0097656,-0.001549716806,
624.0170898,-0.009598619305,624.0170898,-0.0001021857825,624.0170898,0.001889274921,624.0170898,-0.001296348171,
622.9873047,-0.009606519714,622.9873047,-6.952414697E-005,622.9873047,0.002021707129,622.9873047,-0.001241113758,
621.9939575,-0.009692445397,621.9939575,-2.774887071E-005,621.9939575,0.001951416605,621.9939575,-0.001220102189,
621.0004883,-0.009677509777,621.0004883,2.927801688E-005,621.0004883,0.002032265998,621.0004883,-0.0009023786406,
620.0065918,-0.009583781473,620.0065918,-0.0002754428715,620.0065918,0.001971855061,620.0065918,-0.0008561881259,
619.0125122,-0.009742818773,619.0125122,-0.0001664148876,619.0125122,0.002019808628,619.0125122,-0.0005251158145,
618.0181274,-0.009723227471,618.0181274,-0.0002812893654,618.0181274,0.001923412783,618.0181274,-0.0004741790763,
616.9866333,-0.009840308689,616.9866333,-1.066488767E-005,616.9866333,0.002149835229,616.9866333,-2.914662218E-005,
615.9917603,-0.009934740141,615.9917603,-9.297244833E-005,615.9917603,0.002056739759,615.9917603,8.315368905E-005,
614.996582,-0.009841726162,614.996582,-3.856838157E-005,614.996582,0.00214419025,614.996582,7.921829092E-005,
614.0011597,-0.009840410203,614.0011597,-7.402755728E-005,614.0011597,0.001915326575,614.0011597,8.649363008E-005,
613.0053101,-0.009933576919,613.0053101,-8.318953769E-005,613.0053101,0.002077287063,613.0053101,0.0003580469638,
612.0093384,-0.009955587797,612.0093384,-0.0001930664002,612.0093384,0.002019574633,612.0093384,0.0001538416691,
611.0131226,-0.009994293563,611.0131226,-0.000118438038,611.0131226,0.002204547171,611.0131226,0.000274970138,
610.0165405,-0.009957257658,610.0165405,-9.276540368E-005,610.0165405,0.002153841546,610.0165405,7.766485214E-005,
608.9828491,-0.009907668456,608.9828491,-0.000195809087,608.9828491,0.001879057498,608.9828491,3.259165533E-005,
607.9857178,-0.01007695682,607.9857178,-1.786095163E-005,607.9857178,0.002060641069,607.9857178,1.255487587E-005,
606.9883423,-0.01001149602,606.9883423,-0.0002159905707,606.9883423,0.00202415185,606.9883423,0.0001097444838,
605.9907837,-0.01017153915,605.9907837,2.032096018E-005,605.9907837,0.002331011463,605.9907837,0.0001160881948,
604.9929199,-0.01021867152,604.9929199,7.124403055E-005,604.9929199,0.002176318783,604.9929199,-0.000112951675,
603.994751,-0.01040179003,603.994751,-8.567410259E-005,603.994751,0.002282242989,603.994751,-0.0003709427838,
602.9963379,-0.01043767668,602.9963379,-5.61689194E-005,602.9963379,0.002110919449,602.9963379,-0.0008718955214,
601.9976807,-0.01047356054,601.9976807,-0.0001539942023,601.9976807,0.002041836735,601.9976807,-0.001104029943,
600.9987793,-0.01068880036,600.9987793,-6.31054063E-005,600.9987793,0.002205353696,600.9987793,-0.001224955078,
599.9995117,-0.01066303812,599.9995117,-0.0001824577485,599.9995117,0.002044541761,599.9995117,-0.001487858943,
599.000061,-0.01069263928,599.000061,-0.0002609556832,599.000061,0.002001890447,599.000061,-0.001850935048,
598.0003052,-0.0109369522,598.0003052,-1.294279173E-005,598.0003052,0.002157301409,598.0003052,-0.001901195152,
597.0003662,-0.01102367509,597.0003662,-5.363241507E-005,597.0003662,0.002065816894,597.0003662,-0.002144783735,
