Baseline 100%T,,SAM synthesis rotovap 200x,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
602.9963379,-0.01145637874,602.9963379,-0.0004324944166,
601.9976807,-0.01056441851,601.9976807,-0.001574323396,
600.9987793,-0.01090903301,600.9987793,-0.001133773825,
599.9995117,-0.01136479806,599.9995117,-0.0006448581698,
599.000061,-0.01144699939,599.000061,-0.0008546379977,
598.0003052,-0.01109615061,598.0003052,-0.001920060487,
597.0003662,-0.01142133214,597.0003662,-0.0009999618633,
596.000061,-0.01196823362,596.000061,-0.0006878147251,
594.9996338,-0.01193277538,594.9996338,-0.000669619476,
593.9987793,-0.01196239144,593.9987793,-0.001161605236,
592.9978027,-0.01221822295,592.9978027,-0.001086368458,
591.9963989,-0.01276658569,591.9963989,-0.0007421891787,
590.994873,-0.01267779619,590.994873,-0.0008748922264,
589.993103,-0.01300687063,589.993103,-0.0008619751316,
588.9909668,-0.01287918072,588.9909668,-0.001212203293,
587.9886475,-0.01315215323,587.9886475,-0.001237861463,
586.986084,-0.01347971428,586.986084,-0.000882229011,
585.9832764,-0.01380968653,585.9832764,-0.0009172060527,
585.0172729,-0.01366552711,585.0172729,-0.001501686173,
584.013916,-0.01387663372,584.013916,-0.0008740138728,
583.0103149,-0.01407009643,583.0103149,-0.001001976314,
582.0065308,-0.01445816364,582.0065308,-0.0007032180438,
581.0023193,-0.01456471439,581.0023193,-0.001040352508,
579.9979858,-0.01462839171,579.9979858,-0.001212977688,
578.9932861,-0.01500380784,578.9932861,-0.0009538333979,
577.9884644,-0.01503286511,577.9884644,-0.001316272072,
576.9832764,-0.01555476151,576.9832764,-0.00109158433,
576.0151367,-0.0157259088,576.0151367,-0.001099072397,
575.0095215,-0.01581622288,575.0095215,-0.001174616744,
574.0036621,-0.01623674855,574.0036621,-0.00116449676,
572.9974365,-0.01646056771,572.9974365,-0.001084199524,
571.9910889,-0.01666847616,571.9910889,-0.001184323453,
570.9844971,-0.0169487875,570.9844971,-0.001222270541,
570.0148926,-0.01704412512,570.0148926,-0.001600527554,
569.0077515,-0.01769703999,569.0077515,-0.000995467999,
568.0003052,-0.0181287583,568.0003052,-0.0009030502406,
566.9927368,-0.01831289195,566.9927368,-0.001140021835,
565.9848633,-0.01848087087,565.9848633,-0.001102325739,
