Baseline 100%T,,TigE 200,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
656.9971313,-0.003228581976,656.9971313,0.05657199398,
656.0136108,-0.003347221762,656.0136108,0.05693713948,
654.9933472,-0.003362428397,654.9933472,0.05726901442,
654.0092163,-0.003448777366,654.0092163,0.05733284354,
652.9883423,-0.003456327366,652.9883423,0.05789974332,
652.0036011,-0.0036522788,652.0036011,0.05814859271,
650.9821777,-0.003487400012,650.9821777,0.05807482079,
649.9967651,-0.003479131497,649.9967651,0.05844635889,
649.0112305,-0.003490686882,649.0112305,0.05857588351,
647.9888916,-0.003558268072,647.9888916,0.05886821821,
647.0026855,-0.00382751273,647.0026855,0.05940649658,
646.0162964,-0.003913615365,646.0162964,0.05999115109,
644.992981,-0.003838289296,644.992981,0.05988821015,
644.0059204,-0.003923517652,644.0059204,0.0606106706,
642.9821167,-0.003751710057,642.9821167,0.06037257239,
641.9945068,-0.003745756112,641.9945068,0.06051814556,
641.0066528,-0.003725789255,641.0066528,0.0608285293,
639.9818726,-0.003755559446,639.9818726,0.06130064651,
638.9934082,-0.003670041682,638.9934082,0.06121560559,
638.0046997,-0.003776705358,638.0046997,0.06158480048,
637.015686,-0.003839880228,637.015686,0.06172663346,
635.9897461,-0.003905611346,635.9897461,0.06196027994,
635.0001831,-0.003986619879,635.0001831,0.06244474649,
634.0103149,-0.003878930118,634.0103149,0.06261909008,
632.9834595,-0.003868000582,632.9834595,0.06294971704,
631.993103,-0.003882162739,631.993103,0.06319114566,
631.0023193,-0.003954915795,631.0023193,0.0634290874,
630.0113525,-0.004066997673,630.0113525,0.06389318407,
628.9833984,-0.004005805124,628.9833984,0.06391189247,
627.9918213,-0.004033812322,627.9918213,0.06430280954,
627.000061,-0.004082127474,627.000061,0.06459969282,
626.0079346,-0.004288408905,626.0079346,0.06492992491,
625.015564,-0.004234989174,625.015564,0.06512136757,
623.986145,-0.004119309597,623.986145,0.06525819004,
622.9932861,-0.004122386687,622.9932861,0.06542936713,
622.000061,-0.004382568877,622.000061,0.06596897542,
621.0065918,-0.004372472409,621.0065918,0.06624284387,
620.0128174,-0.004416906741,620.0128174,0.06637332588,
618.9819946,-0.004401532002,618.9819946,0.06661371142,
617.9877319,-0.004544085823,617.9877319,0.06679765135,
616.993103,-0.004477733746,616.993103,0.06704292446,
615.998291,-0.004594598431,615.998291,0.06736955047,
615.0031738,-0.004629892763,615.0031738,0.06770335883,
614.0078125,-0.004792955704,614.0078125,0.06790606678,
613.012146,-0.004816150293,613.012146,0.06817770749,
612.0162964,-0.004928982817,612.0162964,0.06841445714,
610.9831543,-0.005054323468,610.9831543,0.06866098195,
609.9866333,-0.00489780819,609.9866333,0.06860395521,
