Baseline 100%Tv1,,Baseline 100%Tv2,,100,,200,,100_v2,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
265.0090027,0.1439697444,693.0015869,-0.001351162675,693.0015869,2.48021841,693.0015869,0.01622799039,693.0015869,0.06562391669,
260.0169373,0.2064745575,691.9927979,-0.0009069250664,691.9927979,2.503193855,691.9927979,0.01626308635,691.9927979,0.06611248851,
254.983017,0.3364332318,690.9838257,-0.0006289358134,690.9838257,2.493475676,690.9838257,0.0165536087,690.9838257,0.06651963294,
249.9859314,0.5683929324,690.010498,-3.044083132E-005,690.010498,2.553658247,690.010498,0.01621487737,690.010498,0.06649694592,
244.9864349,0.9120340347,689.0007324,0.0003984124342,689.0007324,2.511232138,689.0007324,0.01638435759,689.0007324,0.06685818732,
239.9845581,1.4240762,687.9906616,0.001017500064,687.9906616,2.52251792,687.9906616,0.01612172648,687.9906616,0.06703621894,
234.9803619,2.135970116,687.0163574,0.001276083873,687.0163574,2.53018856,687.0163574,0.01618188247,687.0163574,0.06735546887,
230.0133057,2.970393419,686.0057373,0.001406589174,686.0057373,2.500059605,686.0057373,0.01674003527,686.0057373,0.06793497503,
,,684.9946899,0.001743108151,684.9946899,2.509820223,684.9946899,0.01671267487,684.9946899,0.06823798269,
,,683.9833374,0.002029925352,683.9833374,2.589058161,683.9833374,0.01657071151,683.9833374,0.06854535639,
,,683.0078125,0.002655511955,683.0078125,2.554654121,683.0078125,0.01654968224,683.0078125,0.06855741888,
,,681.9959106,0.003075347515,681.9959106,2.520370007,681.9959106,0.01641357876,681.9959106,0.06864864379,
,,680.9835815,0.003076103516,680.9835815,2.505100965,680.9835815,0.01694083214,680.9835815,0.06940387189,
,,680.0071411,0.003725339659,680.0071411,2.527994633,680.0071411,0.01663727686,680.0071411,0.06950411201,
,,678.9942017,0.003995259758,678.9942017,2.502104759,678.9942017,0.01649544574,678.9942017,0.06975304335,
,,678.0171509,0.004128754139,678.0171509,2.565629482,678.0171509,0.01684373245,678.0171509,0.07059419155,
,,677.0036621,0.004426827189,677.0036621,2.544269085,677.0036621,0.01660314575,677.0036621,0.07047926635,
,,675.9897461,0.004374292679,675.9897461,2.542025566,675.9897461,0.01706196927,675.9897461,0.0712986365,
,,675.0117798,0.004824297968,675.0117798,2.50567317,675.0117798,0.01691348664,675.0117798,0.0713339895,
